iter	Passed	Remaining
0	149	149510
1	150	75017
2	150	50138
3	151	37749
4	152	30319
5	152	25346
6	153	21793
7	154	19137
8	155	17069
9	155	15407
10	156	14046
11	156	12911
12	157	11956
13	158	11139
14	158	10430
15	159	9812
16	160	9272
17	161	8787
18	161	8351
19	162	7957
20	163	7602
21	163	7276
22	164	6977
23	164	6703
24	165	6453
25	166	6220
26	166	6004
27	167	5804
28	167	5617
29	168	5446
30	169	5285
31	169	5132
32	170	4989
33	170	4854
34	171	4727
35	172	4608
36	172	4496
37	173	4389
38	173	4286
39	174	4189
40	175	4096
41	175	4008
42	176	3924
43	176	3844
44	177	3767
45	178	3693
46	178	3622
47	179	3555
48	179	3491
49	180	3429
50	181	3369
51	181	3311
52	182	3255
53	182	3202
54	183	3150
55	183	3101
56	184	3052
57	185	3006
58	185	2961
59	186	2918
60	186	2875
61	187	2835
62	187	2795
63	188	2757
64	189	2720
65	189	2685
66	190	2650
67	190	2616
68	191	2583
69	192	2551
70	192	2520
71	193	2489
72	193	2460
73	194	2432
74	194	2404
75	195	2377
76	196	2351
77	196	2325
78	197	2299
79	197	2275
80	198	2251
81	198	2227
82	199	2202
83	199	2179
84	200	2158
85	201	2137
86	201	2116
87	202	2096
88	202	2076
89	203	2057
90	204	2037
91	204	2019
92	205	2001
93	205	1983
94	206	1965
95	206	1948
96	207	1931
97	208	1915
98	208	1898
99	209	1883
100	209	1867
101	210	1852
102	210	1837
103	211	1822
104	212	1808
105	212	1794
106	213	1780
107	213	1767
108	214	1753
109	215	1740
110	215	1727
111	216	1715
112	216	1702
113	217	1690
114	218	1677
115	218	1665
116	219	1653
117	219	1641
118	220	1630
119	220	1618
120	221	1607
121	221	1596
122	222	1585
123	222	1575
124	223	1564
125	224	1554
126	224	1544
127	225	1534
128	225	1524
129	226	1515
130	226	1505
131	227	1496
132	228	1487
133	228	1478
134	229	1469
135	229	1460
136	230	1451
137	231	1443
138	231	1434
139	232	1426
140	232	1417
141	233	1408
142	233	1400
143	234	1392
144	234	1384
145	235	1377
146	236	1369
147	236	1362
148	237	1354
149	237	1347
150	238	1340
151	238	1332
152	239	1325
153	240	1318
154	240	1311
155	241	1304
156	241	1298
157	242	1291
158	242	1285
159	243	1278
160	243	1271
161	244	1264
162	245	1258
163	245	1252
164	246	1246
165	246	1240
166	247	1233
167	247	1227
168	248	1221
169	249	1216
170	249	1210
171	250	1204
172	250	1199
173	251	1193
174	251	1187
175	252	1182
176	253	1176
177	253	1171
178	254	1166
179	254	1160
180	255	1155
181	255	1150
182	256	1145
183	257	1140
184	257	1135
185	258	1129
186	258	1125
187	259	1120
188	259	1115
189	260	1110
190	261	1105
191	261	1101
192	262	1096
193	262	1091
194	263	1087
195	263	1082
196	264	1078
197	265	1073
198	265	1069
199	266	1064
200	266	1060
201	267	1056
202	267	1051
203	268	1047
204	269	1043
205	269	1039
206	270	1035
207	270	1031
208	271	1026
209	271	1022
210	272	1018
211	273	1014
212	273	1011
213	274	1007
214	274	1003
215	275	999
216	275	995
217	276	991
218	277	987
219	277	984
220	278	980
221	278	976
222	279	973
223	279	969
224	280	965
225	281	962
226	281	958
227	282	955
228	282	952
229	283	948
230	284	945
231	284	942
232	285	939
233	285	935
234	286	932
235	287	929
236	287	926
237	288	922
238	288	919
239	289	916
240	289	913
241	290	909
242	291	906
243	291	903
244	292	900
245	292	897
246	293	894
247	294	891
248	294	888
249	295	885
250	295	882
251	296	879
252	297	876
253	297	874
254	298	871
255	298	868
256	299	866
257	300	863
258	301	861
259	301	858
260	302	856
261	303	853
262	303	850
263	304	848
264	304	845
265	305	843
266	306	840
267	307	838
268	307	835
269	308	833
270	308	831
271	309	828
272	310	826
273	310	823
274	311	821
275	312	819
276	313	817
277	313	815
278	314	813
279	315	810
280	315	808
281	316	805
282	317	803
283	317	801
284	318	799
285	319	797
286	319	794
287	320	792
288	321	790
289	321	788
290	322	785
291	323	783
292	323	781
293	324	778
294	325	777
295	325	774
296	326	772
297	327	770
298	327	768
299	328	766
300	329	765
301	330	763
302	330	761
303	331	759
304	332	756
305	332	754
306	333	752
307	334	750
308	334	748
309	335	746
310	335	744
311	336	742
312	337	740
313	338	738
314	338	736
315	339	735
316	340	733
317	340	731
318	341	729
319	342	727
