iter	Passed	Remaining
0	126	126171
1	126	63316
2	127	42388
3	128	31925
4	128	25640
5	129	21443
6	130	18454
7	130	16208
8	131	14459
9	131	13061
10	132	11920
11	133	10968
12	133	10166
13	134	9490
14	135	8905
15	136	8387
16	137	7927
17	137	7524
18	138	7174
19	139	6856
20	140	6555
21	141	6284
22	142	6036
23	142	5803
24	143	5588
25	144	5403
26	144	5221
27	145	5052
28	146	4892
29	146	4746
30	147	4608
31	148	4477
32	148	4358
33	150	4264
34	150	4162
35	151	4062
36	152	3973
37	153	3885
38	154	3801
39	155	3721
40	155	3644
41	156	3568
42	157	3495
43	157	3427
44	158	3361
45	159	3298
46	159	3237
47	160	3179
48	160	3123
49	161	3069
50	162	3017
51	162	2968
52	163	2921
53	164	2880
54	165	2838
55	166	2798
56	166	2757
57	167	2718
58	168	2681
59	168	2645
60	169	2609
61	170	2574
62	170	2541
63	171	2507
64	172	2475
65	172	2444
66	173	2414
67	174	2384
68	174	2358
69	175	2330
70	176	2304
71	176	2277
72	177	2252
73	178	2227
74	178	2207
75	179	2185
76	180	2167
77	181	2145
78	182	2123
79	183	2104
80	183	2086
81	184	2067
82	185	2044
83	185	2025
84	186	2006
85	187	1988
86	187	1970
87	188	1952
88	189	1934
89	189	1917
90	190	1900
91	190	1883
92	191	1867
93	192	1851
94	192	1835
95	193	1824
96	194	1811
97	195	1798
98	196	1784
99	196	1771
100	197	1759
101	198	1746
102	199	1733
103	199	1721
104	200	1708
105	201	1695
106	201	1683
107	202	1670
108	202	1658
109	203	1646
110	204	1634
111	204	1623
112	205	1612
113	206	1601
114	206	1590
115	207	1579
116	207	1567
117	208	1558
118	209	1549
119	209	1539
120	210	1529
121	211	1518
122	211	1510
123	212	1500
124	213	1491
125	213	1483
126	214	1473
127	215	1464
128	215	1456
129	216	1447
130	216	1438
131	217	1430
132	218	1422
133	218	1413
134	219	1405
135	220	1397
136	220	1389
137	221	1381
138	221	1374
139	222	1366
140	223	1361
141	224	1353
142	224	1346
143	225	1339
144	226	1332
145	226	1326
146	227	1320
147	228	1315
148	229	1308
149	229	1302
150	230	1295
151	231	1289
152	231	1282
153	232	1276
154	233	1270
155	233	1265
156	234	1259
157	235	1253
158	235	1248
159	236	1243
160	237	1236
161	238	1231
162	238	1226
163	239	1221
164	240	1216
165	241	1210
166	241	1205
167	242	1201
168	243	1196
169	244	1191
170	244	1187
171	245	1182
172	246	1177
173	246	1172
174	247	1167
175	248	1162
176	248	1157
177	249	1152
178	250	1147
179	250	1142
180	251	1137
181	252	1133
182	253	1129
183	253	1125
184	254	1121
185	255	1117
186	256	1113
187	256	1108
188	257	1104
189	258	1100
190	258	1096
191	259	1092
192	260	1088
193	260	1084
194	261	1080
195	262	1076
196	263	1072
197	263	1068
198	264	1064
199	265	1060
200	265	1056
201	266	1053
202	267	1049
203	268	1046
204	269	1043
205	269	1039
206	270	1036
207	271	1033
208	272	1029
209	272	1026
210	273	1022
211	274	1019
212	274	1015
213	275	1011
214	276	1008
215	276	1005
216	277	1001
217	278	997
218	278	994
219	279	990
220	280	987
221	280	983
222	281	980
223	282	978
224	283	976
225	284	973
226	284	969
227	285	966
228	286	964
229	287	961
230	287	958
231	288	955
232	289	952
233	290	949
234	290	946
235	291	943
236	292	940
237	292	937
238	293	934
239	294	931
240	294	928
241	295	926
242	296	923
243	297	920
244	298	918
245	298	915
246	299	912
247	300	909
248	300	907
249	301	904
250	302	902
251	302	899
252	303	896
253	304	893
254	305	891
255	305	888
256	306	885
257	307	883
258	307	880
259	308	877
260	309	875
261	309	872
262	310	870
263	311	867
264	312	866
265	313	864
266	313	861
267	314	859
268	315	857
269	316	855
270	317	853
271	318	851
272	318	849
273	319	847
274	320	845
275	321	843
276	322	840
277	322	838
278	323	836
279	324	833
280	324	831
281	325	829
282	326	827
283	327	825
284	328	823
285	328	820
286	329	818
287	330	817
288	331	815
289	332	813
290	332	811
291	333	809
292	334	807
293	335	805
294	335	802
295	336	800
296	337	798
297	338	796
298	338	794
299	339	792
300	340	790
301	340	788
302	341	786
303	342	784
304	343	782
305	344	780
306	345	778
307	345	777
308	346	775
309	347	773
310	348	771
311	348	769
312	349	767
313	350	765
314	350	763
315	351	761
316	352	759
317	352	756
318	353	754
319	354	752
320	354	750
321	355	748
322	356	746
323	357	745
324	357	743
325	358	741
326	359	739
327	360	737
328	360	736
329	361	734
330	362	732
331	363	730
332	363	728
333	364	726
334	365	724
335	365	723
336	366	721
337	367	719
338	367	717
339	368	715
340	369	714
341	370	712
342	371	711
343	372	709
344	372	707
345	373	705
346	374	704
347	375	702
348	375	700
349	376	699
350	377	697
351	377	695
352	378	694
353	379	692
354	380	690
355	380	688
356	381	687
357	382	685
358	382	683
359	383	681
360	384	680
361	385	678
362	385	676
363	386	676
364	387	674
365	388	672
366	389	671
367	389	669
368	390	668
369	391	666
370	392	665
371	392	663
372	393	661
373	394	660
374	395	658
375	395	656
376	396	655
377	397	653
378	397	651
379	398	650
380	399	648
381	400	647
382	400	645
383	401	644
384	402	642
385	403	641
386	403	639
387	404	637
388	405	636
389	405	634
390	406	633
391	407	631
392	408	630
393	408	628
394	409	627
395	410	625
396	410	623
397	411	622
398	412	620
399	412	618
400	413	617
401	414	615
402	414	614
403	415	613
404	416	611
405	417	610
406	417	608
407	418	607
408	419	605
409	420	604
410	420	603
411	421	601
412	422	600
413	422	598
414	423	596
415	424	595
416	424	593
417	425	592
418	426	590
419	426	589
420	427	588
421	428	586
422	429	585
423	430	584
424	430	582
425	431	581
426	432	580
427	432	578
428	433	577
429	434	575
430	434	574
431	435	572
432	436	571
433	437	570
434	437	568
435	438	567
